id,school_code,name,type,region,source
u-mext-F113310103117,F113310103117,杉野服飾大学,private,関東,mext
u-mext-F113310103126,F113310103126,成城大学,private,関東,mext
u-mext-F113310103135,F113310103135,聖心女子大学,private,関東,mext
u-mext-F113310103144,F113310103144,清泉女子大学,private,関東,mext
u-mext-F113310103153,F113310103153,聖路加国際大学,private,関東,mext
u-mext-F113310103162,F113310103162,専修大学,private,関東,mext
u-mext-F113310103171,F113310103171,大正大学,private,関東,mext
u-mext-F113310103180,F113310103180,大東文化大学,private,関東,mext
u-mext-F113310103199,F113310103199,高千穂大学,private,関東,mext
u-mext-F113310103206,F113310103206,拓殖大学,private,関東,mext
u-mext-F113310103215,F113310103215,多摩美術大学,private,関東,mext
u-mext-F113310103224,F113310103224,中央大学,private,関東,mext
u-mext-F113310103233,F113310103233,東海大学,private,関東,mext
u-mext-F113310103242,F113310103242,東京医科大学,private,関東,mext
u-mext-F113310103251,F113310103251,東京家政大学,private,関東,mext
u-mext-F113310103260,F113310103260,東京家政学院大学,private,関東,mext
u-mext-F113310103279,F113310103279,東京歯科大学,private,関東,mext
u-mext-F113310103288,F113310103288,東京慈恵会医科大学,private,関東,mext
u-mext-F113310103297,F113310103297,東京女子大学,private,関東,mext
u-mext-F113310103304,F113310103304,東京女子医科大学,private,関東,mext
u-mext-F113310103313,F113310103313,東京電機大学,private,関東,mext
u-mext-F113310103322,F113310103322,東京農業大学,private,関東,mext
u-mext-F113310103331,F113310103331,東京薬科大学,private,関東,mext
u-mext-F113310103340,F113310103340,東京理科大学,private,関東,mext
u-mext-F113310103359,F113310103359,東邦大学,private,関東,mext
u-mext-F113310103368,F113310103368,東洋大学,private,関東,mext
u-mext-F113310103377,F113310103377,東京音楽大学,private,関東,mext
u-mext-F113310103386,F113310103386,二松学舎大学,private,関東,mext
u-mext-F113310103395,F113310103395,日本大学,private,関東,mext
u-mext-F113310103402,F113310103402,日本医科大学,private,関東,mext
u-mext-F113310103411,F113310103411,日本歯科大学,private,関東,mext
u-mext-F113310103420,F113310103420,日本社会事業大学,private,関東,mext
u-mext-F113310103439,F113310103439,日本女子大学,private,関東,mext
u-mext-F113310103448,F113310103448,日本女子体育大学,private,関東,mext
u-mext-F113310103457,F113310103457,日本体育大学,private,関東,mext
u-mext-F113310103466,F113310103466,ルーテル学院大学,private,関東,mext
u-mext-F113310103475,F113310103475,文化学園大学,private,関東,mext
u-mext-F113310103484,F113310103484,法政大学,private,関東,mext
u-mext-F113310103493,F113310103493,星薬科大学,private,関東,mext
